Time (s),Signal 1 (A),Signal 2 (A),Signal 3 (A),Peak (A),Signal Angle (deg),Delta t (s),DFT1 Real,DFT1 Imag,DFT1 Magnitude,DFT1 Phase (deg),DFT1 RMS,PMU1 Sync Offset,PMU1 Mag Noise,PMU1 Phase Noise,PMU1 Clock Drift,PMU1 Packet Loss,PMU1 Bad Data,DFT2 Real,DFT2 Imag,DFT2 Magnitude,DFT2 Phase (deg),DFT2 RMS,PMU2 Sync Offset,PMU2 Mag Noise,PMU2 Phase Noise,PMU2 Clock Drift,PMU2 Packet Loss,PMU2 Bad Data,DFT3 Real,DFT3 Imag,DFT3 Magnitude,DFT3 Phase (deg),DFT3 RMS,PMU3 Sync Offset,PMU3 Mag Noise,PMU3 Phase Noise,PMU3 Clock Drift,PMU3 Packet Loss,PMU3 Bad Data
0.042,5.877852522924742,8.090169943749482,9.758192220827612,10,36.0,0.001,80.90169943749476,-58.77852522924732,9.997146281562774,-35.89241169875195,7.071067811865477,0.16172177186268408,-0.0028537184372297224,-0.05497347061463314,0.00084,False,False,95.10565162951538,-30.901699437494713,9.99972177536036,-20.142237211172475,7.071067811865475,-1.9402401017235513,-0.00027822463964070746,-0.20283710944894234,0.00084,False,False,99.18350348789514,10.699316851766293,9.967791638529242,7.807480483538363,7.054021103323905,1.7877275635101635,-0.008100675057448974,-0.13800087880397924,0.00084,False,False
0.043000000000000003,8.090169943749482,9.51056516295154,9.957380037170342,10,54.000000000000114,0.001,95.10565162951539,-30.901699437494745,10.014547411155272,-17.73618921326507,7.071067811865477,0.16172177186268408,0.014547411155268102,0.10122901487224081,0.0008600000000000001,False,False,100.00000000000001,3.8191672047105385e-14,9.997959626561732,-1.9114456418120418,7.071067811865476,-1.9402401017235513,-0.0020403734382699753,0.027934459911487398,0.0008600000000000001,False,False,91.05273612024436,40.83475485615294,9.976594037330372,26.076237598246443,7.0562305656578985,1.7877275635101635,-0.0024229278546042173,0.13267155367488556,0.0008600000000000001,False,False
0.044,9.510565162951535,10.0,9.190718006782907,10,72.0,0.001,100.00000000000001,7.105427357601002e-15,9.99329748235448,-0.030039234036498157,7.071067811865476,0.16172177186268408,-0.006702517645520969,-0.1926410058991863,0.0008799999999999999,False,False,95.10565162951536,30.901699437494784,9.999927973621224,15.637566029282393,7.071067811865477,-1.9402401017235513,-7.20263787796124e-05,-0.42307386899407873,0.0008799999999999999,False,False,74.09142838895355,67.00996657287587,9.989177853050391,43.74720933183018,7.063949101180364,1.7877275635101635,-0.0007547697521146701,-0.16830303994512197,0.0008799999999999999,False,False
0.045,10.0,9.510565162951538,7.532546375014206,10,90.0,0.001,95.10565162951538,30.901699437494756,10.003047230546937,18.34384105588877,7.071067811865476,0.16172177186268408,0.0030472305469352555,0.18121928402608284,0.0009,False,False,80.90169943749474,58.77852522924735,9.992830114193868,34.20865080572616,7.071067811865477,-1.9402401017235513,-0.0071698858061358915,0.14799090744968887,0.0009,False,False,49.94420942062365,86.6863058523897,10.003707654922897,61.66595140610414,7.074227758909506,1.7877275635101635,-0.0007611850431529993,-0.17433318299169587,0.0009,False,False
0.046,9.510565162951538,8.090169943749478,5.143687138233219,10,108.0,0.001,80.90169943749477,58.778525229247336,10.006120566297577,36.026176335693194,7.071067811865478,0.16172177186268408,0.006120566297572191,-0.13646543616949616,0.00092,False,False,58.77852522924731,80.90169943749478,10.006614701921505,51.92141170278114,7.071067811865477,-1.9402401017235513,0.006614701921502031,-0.13926819549532427,0.00092,False,False,20.95272389686449,97.95532864637356,10.012194808377311,79.6903570821859,7.083171270312928,1.7877275635101635,-0.0049220667106953195,-0.024620396372564995,0.00092,False,False
0.047,8.090169943749478,5.877852522924721,2.255849159566693,10,126.0,0.001,58.778525229247336,80.90169943749477,10.008303226301397,54.164711760464336,7.071067811865478,0.16172177186268408,0.008303226301391298,0.002049988601648832,0.00094,False,False,30.90169943749472,95.10565162951539,9.998234586968534,70.17375554321512,7.071067811865476,-1.9402401017235513,-0.001765413031467173,0.11305564493863872,0.00094,False,False,-10.07142456377818,99.72392352461095,10.02890111098557,97.64213089497903,7.087416495411543,1.7877275635101635,0.005780580987774087,0.0865407402804152,0.00094,False,False
0.048,5.877852522924721,3.090169943749463,-0.8508444360916939,10,144.0,0.001,30.90169943749474,95.10565162951539,10.009452587904484,71.8963706041061,7.071067811865477,0.16172177186268408,0.009452587904480452,-0.2663111677566142,0.00096,False,False,-4.973799150320701e-14,100.00000000000003,9.999683203382842,88.28363997678758,7.071067811865477,-1.9402401017235513,-0.0003167966171612721,0.22292007851107465,0.00096,False,False,-40.1193317540554,91.82037735235942,10.022832530591835,115.27878686939178,7.085387243306337,1.7877275635101635,0.002581796442695745,-0.11199411763266026,0.00096,False,False
0.049,3.090169943749463,-1.164033439826574e-14,-3.8750272553932,10,162.0,0.001,-2.4868995751603507e-14,100.00000000000003,9.996282514752679,90.04612323040743,7.071067811865477,0.16172177186268408,-0.0037174852473253394,-0.1165785414552746,0.00098,False,False,-30.90169943749479,95.10565162951536,9.997133873157836,105.84026461060785,7.071067811865477,-1.9402401017235513,-0.0028661268421679167,-0.22047528766863822,0.00098,False,False,-66.27661272763982,75.01108132649814,9.998040161306822,133.50041379990896,7.077871048705276,1.7877275635101635,-0.011581068500061726,0.24925503715792208,0.00098,False,False
0.05,-1.164033439826574e-14,-3.090169943749485,-6.523323639078234,10,180.0,0.001,-30.901699437494784,95.10565162951536,9.994908293087693,107.80469956622672,7.071067811865477,0.16172177186268408,-0.00509170691231,-0.35802220563600207,0.001,False,False,-58.77852522924737,80.90169943749473,9.99879642319389,123.92725999820632,7.071067811865477,-1.9402401017235513,-0.0012035768061146863,-0.13349990007019533,0.001,False,False,-86.00608096975105,50.92624871120303,9.995537446883406,150.98511525423334,7.0677184336851875,1.7877275635101635,0.0002741829314849162,-0.17282684184816716,0.001,False,False
0.051000000000000004,-3.090169943749485,-5.877852522924755,-8.538809848836381,10,198.0000000000001,0.001,-58.778525229247364,80.90169943749473,10.000346722620343,126.13646991234249,7.071067811865477,0.16172177186268408,0.0003467226203384764,-0.026271859520221447,0.00102,False,False,-80.90169943749481,58.778525229247265,9.999233987829932,142.306205185964,7.071067811865477,-1.9402401017235513,-0.0007660121700721526,0.2454252876874886,0.00102,False,False,-97.39386764181653,21.90184085286581,9.976810663313392,168.86423900407473,7.0587732953311155,1.7877275635101635,-0.0058022646608961075,-0.2507210042106814,0.00102,False,False
