Time (s),Voltage 1 (V),Current 1 (A),Voltage 2 (V),Current 2 (A),Voltage 3 (V),Current 3 (A),Peak (A),Signal Angle (deg),Delta t (s),PMU1 Voltage DFT Real,PMU1 Voltage DFT Imag,PMU1 Voltage Magnitude,PMU1 Voltage Phase,PMU1 Voltage DFT RMS,PMU1 Current DFT Real,PMU1 Current DFT Imag,PMU1 Current Magnitude,PMU1 Current Phase,PMU1 Current DFT RMS,PMU1 Sync Offset,PMU1 Mag Noise,PMU1 Phase Noise,PMU1 Clock Drift,PMU1 Packet Loss,PMU1 Bad Data,PMU2 Voltage DFT Real,PMU2 Voltage DFT Imag,PMU2 Voltage Magnitude,PMU2 Voltage Phase,PMU2 Voltage DFT RMS,PMU2 Current DFT Real,PMU2 Current DFT Imag,PMU2 Current Magnitude,PMU2 Current Phase,PMU2 Current DFT RMS,PMU2 Sync Offset,PMU2 Mag Noise,PMU2 Phase Noise,PMU2 Clock Drift,PMU2 Packet Loss,PMU2 Bad Data,PMU3 Voltage DFT Real,PMU3 Voltage DFT Imag,PMU3 Voltage Magnitude,PMU3 Voltage Phase,PMU3 Voltage DFT RMS,PMU3 Current DFT Real,PMU3 Current DFT Imag,PMU3 Current Magnitude,PMU3 Current Phase,PMU3 Current DFT RMS,PMU3 Sync Offset,PMU3 Mag Noise,PMU3 Phase Noise,PMU3 Clock Drift,PMU3 Packet Loss,PMU3 Bad Data
0.027,264.50453790874366,4.791093545431851,269.59407534601485,1.14084507353936,275.06393241765807,-5.931938618971242,10,126.0,0.001,1921.745524825827,2645.055796114744,1.006012579220887,53.36131447612932,231.18635369273304,26.073621113416404,74.82004850209391,0.7918222121389107,70.08817179830068,5.6026214292158265,-0.5701156920474232,-0.0050810886500483,-0.1296026479130806,0.00054,False,False,2002.066840707042,2562.528620405857,1.000582925032872,51.37335302291911,229.9437383911315,3.843045312317368,25.07337539405261,0.2537631280073945,80.85202101219996,1.793659877072027,-0.4968318115350719,0.0010131556342257,0.0623339254133735,0.00054,False,False,2084.8791398882104,2484.662133548185,0.9979693841361176,50.1482219129097,229.3498086529529,-29.91666642573329,-99.89342389614671,1.041973107607303,-105.94348722359317,7.373500887544482,0.3086130419915178,-0.0079738812624282,0.4195736000870811,0.00054,False,False
0.028,192.17369961942669,2.6064439014105334,200.20644372315147,0.3849901529075959,208.487793675435,-2.9914340543180957,10,144.0,0.001,1010.319585530564,3109.4489834458755,1.006008841678877,71.42925884676806,231.18627387411263,1.6752664695429536,79.21478168801977,0.7928952376380973,88.05316269089174,5.602583402156816,-0.5701156920474232,0.0057029447244079,-0.1657477337836413,0.00056,False,False,1112.2133162166165,3055.782055737457,1.000605686021723,69.30956203505941,229.9437152102293,-4.091984567829201,25.0341406782228,0.2537862399386776,98.6260884876102,1.793672959600498,-0.4968318115350719,0.0012257734578633,-0.1608925043703071,0.00056,False,False,1215.0348174619949,3007.3171172233288,0.9980082226297208,68.32989354455206,229.34979672096216,2.416718098286776,-104.2489223662426,1.04197146995515,-88.01835867651585,7.373492503857809,0.3086130419915178,-0.0079784014605683,0.3444646213110943,0.00056,False,False
0.029,101.03164233940636,0.1666496205393932,111.2212315116738,-0.4085447014392506,121.50342673621452,0.2418950808999082,10,162.0,0.001,-0.0025138867804486,3269.4673274780903,1.0059929543941442,89.46451112329393,231.18625181283,-22.886992549197544,75.85491587946396,0.7927800269457541,105.9495282496221,5.602580963728938,-0.5701156920474232,0.0045542862587513,-0.2705818930475986,0.00058,False,False,113.48885426359338,3249.9141611662385,1.000585807270195,87.21245776239304,229.94370805689508,-11.626525979503846,22.544765949913444,0.2533706798939301,116.49406859547211,1.793659078655214,-0.4968318115350719,-0.0029101963685331,-0.2902193115923147,0.00058,False,False,226.25453847213976,3235.59490097714,0.9980069422420922,85.96234967447637,229.34979266840972,34.51351852870184,-98.3996818293773,1.0430147816721045,-70.16414684266778,7.37349318347611,0.3086130419915178,0.0024537545835585,0.1984286714000297,0.00058,False,False
0.03,1.201176807428638e-13,-2.289449243571478,11.348935325935072,-1.162094714314676,22.62546952537924,3.4515439578862224,10,180.0,0.001,-1010.323357592775,3109.447429778402,1.0059894728350067,107.22419721861864,231.18625181283,-45.208679103871305,65.06938828850701,0.7917861861512658,124.26712619178905,5.6026109799616215,-0.5701156920474232,-0.0054265710494848,0.0459786986923431,0.0006,False,False,-896.3444203874176,3125.9220156909555,,,229.94370798242187,-18.02315863574249,17.848890521544206,0.2545701707460679,134.70190780897786,1.7936236228083218,-0.4968318115350719,0.0091348542923855,-0.0802038009964262,0.0006,False,False,-784.6729852542398,3147.1501033044437,0.9980236561017296,104.00859962824168,229.34979252788705,63.231837739614186,-82.91827881005099,1.0434233835376108,-52.363158246860245,7.3735019715025,0.3086130419915178,0.0065273450925168,-0.0007974222962731,0.0006,False,False
0.031,-101.03154137634986,-4.521417436911016,-89.63424704205462,-1.8019084852790408,-78.46721369380911,6.323325922190095,10,198.0,0.001,-1921.7457515018789,2645.053464851893,,,231.1862297514768,-63.104662111885695,47.91405609538296,0.7929760686240855,142.36552159310313,5.602657919133903,-0.5701156920474232,0.0064058716646653,0.1436632001698234,0.00062,False,False,-1818.4370011295475,2695.94291738809,1.00058707386181,123.80038168119492,229.9437033372737,-22.65583142129031,11.406108264658618,0.2535201874837,152.75954613194097,1.7935802228155824,-0.4968318115350719,-0.0013036014729545,-0.021212457738425,0.00062,False,False,-1718.7911275899855,2750.6403565678297,0.9980169474009384,122.14267756910913,229.3497908377251,85.76049353317634,-59.3201643600412,1.0435530809262858,-34.49768343837154,7.373514816814395,0.3086130419915178,0.0078061529649748,-0.1354735038332357,0.00062,False,False
0.032,-192.1733155331392,-6.3107614693991145,-181.8433791324597,-2.2653661807801364,-171.8789670778562,8.576127650179295,10,216.0,0.001,-2645.053464853592,1921.7438310622808,1.0060027132673452,143.4103681157482,231.18614993290493,-74.8230647194082,26.068332534483268,0.7927678330503523,160.26954660846465,5.602699784538319,-0.5701156920474232,0.0042643093046137,0.0473431423606561,0.00064,False,False,-2562.52807693833,2002.0662919891884,,,229.94368422090437,-25.07113525023356,3.8469863161404354,0.2548546589419247,170.94037241889913,1.793545547863331,-0.4968318115350719,0.012090150897041,0.160151508671739,0.00064,False,False,-2484.661911807708,2084.8788337703177,0.9980059603012196,140.52874517084547,229.34978272816628,99.894199969642,-29.91531885062324,1.0429790512148611,-16.324175988475375,7.37352612035425,0.3086130419915178,0.0020498702313601,0.0379531917947304,0.00064,False,False
0.033,-264.50374493462164,-7.482318542198987,-256.25239217022846,-2.507108259985652,-248.46599891039773,9.989426802184662,10,234.0,0.001,-3109.444322447429,1010.3213383221608,1.0059774464980566,161.55666340582096,231.18599872256135,-79.21675935405909,1.6707815230144396,0.7919531596091253,177.71636713733173,5.602716516769591,-0.5701156920474232,-0.0039060880560494,-0.5059159437688334,0.00066,False,False,-3055.780885971605,1112.2136792231968,1.000572534666615,159.2798362133888,229.94364626273767,-25.032679126122183,-4.088649708972234,0.2532958260003997,-171.23131512966867,1.7935329390257546,-0.4968318115350719,-0.0034803469291026,-0.0114942332747582,0.00066,False,False,-3007.3165953174853,1215.0349411966874,0.997999501970664,158.48616628343152,229.3497657814456,104.24943848018135,2.417868185958311,1.042176714762862,1.524992986522538,7.373530874010695,0.3086130419915178,-0.0059802169740471,-0.1129088950702494,0.00066,False,False
0.034,-310.94264553150515,-7.921403617210319,-305.5776192188581,-2.5034749039560524,-300.7314394929164,10.424878521166375,10,252.0,0.001,-3269.4607929948625,0.0025138823141332,1.0059885745424697,179.3988492808844,231.18578975508976,-75.85566133228257,-22.890234781226507,0.7915365910666032,-163.5849969717224,5.602697655816178,-0.5701156920474232,-0.0080451000651546,0.1927040152776271,0.00068,False,False,-3249.9124797146164,113.49009329184452,1.0006291666347626,177.71985931047777,229.9435922903724,-22.544226230933145,-11.624123855887806,0.2529201520023012,-153.38267932295415,1.793547311570724,-0.4968318115350719,-0.0072574127581085,-0.162803434377084,0.00068,False,False,-3235.5941299937576,226.25507994733445,0.9979990338157394,176.16962903571044,229.3497409552934,98.3998875632156,34.514358637114825,1.042736265560145,19.21947602687618,7.3735265730126915,0.3086130419915178,-0.0003786264715064,-0.4184466298483476,0.00068,False,False
0.035,-326.9442823198047,-7.585036064586744,-324.9907706903437,-2.2548216523960445,-323.5591867310233,9.839857716982737,10,270.0000000000001,0.001,-3109.439661452342,-1010.3155470013568,1.006013663212685,-162.73989861401165,231.18555872637788,-65.06882847367284,-45.21036115830144,0.7921607958805182,-145.69583727710605,5.602646336777072,-0.5701156920474232,-0.0017304758448919,0.081685340823045,0.0007,False,False,-3125.9199872270806,-896.3424267765422,1.0006095761039084,-164.65268949430452,229.94353124827643,-17.849325665470563,-18.021924597519806,0.2534613062665922,-135.29933234286062,1.7935832750540404,-0.4968318115350719,-0.0018967301610554,-0.0788840931251471,0.0007,False,False,-3147.1491587127894,-784.6720790419752,0.9980078637495946,-165.22293040822973,229.3497122171148,82.91815413914313,63.23228575582169,1.0434142462220315,37.766827549927925,7.373514171597079,0.3086130419915178,0.0064187183975087,0.1288510925865581,0.0007,False,False
0.036,-310.94233479996603,-6.506146899081777,-312.5915602554616,-1.7854846117728915,-314.7147055221289,8.291631510854634,10,288.0000000000001,0.001,-2645.045223101617,-1921.7359226450255,1.0059992377693496,-144.7637046369984,231.1853497589868,-47.91224572531329,-63.10461922902815,0.7924154085448804,-127.72406270939572,5.602578093379615,-0.5701156920474232,0.0009121615369556,0.0529549979988753,0.00072,False,False,-2695.940740519087,-1818.4344482089675,1.000570822431566,-146.01227897362108,229.94347478047357,-11.407475879319032,-22.655886519855063,0.2534784573287111,-116.99076008264086,1.793627190831188,-0.4968318115350719,-0.0017873258275101,0.2310845639728369,0.00072,False,False,-2750.639330831143,-1718.7899453470804,0.9979964136759306,-147.95789494652558,229.3496850285761,59.31972160463192,85.76050574888355,1.0429910803266813,55.86002715815192,7.373497717350743,0.3086130419915178,0.0022103292623325,0.2219331981167684,0.00072,False,False
