Time (s),Voltage 1 (V),Current 1 (A),Voltage 2 (V),Current 2 (A),Voltage 3 (V),Current 3 (A),Peak (A),Signal Angle (deg),Delta t (s),Voltage 1 DFT Real,Voltage 1 DFT Imag,Voltage 1 DFT Magnitude,Voltage 1 DFT Phase (deg),Voltage 1 DFT RMS,Current 1 DFT Real,Current 1 DFT Imag,Current 1 DFT Magnitude,Current 1 DFT Phase (deg),Current 1 DFT RMS,PMU1 Sync Offset,PMU1 Mag Noise,PMU1 Phase Noise,PMU1 Clock Drift,PMU1 Packet Loss,PMU1 Bad Data,Voltage 2 DFT Real,Voltage 2 DFT Imag,Voltage 2 DFT Magnitude,Voltage 2 DFT Phase (deg),Voltage 2 DFT RMS,Current 2 DFT Real,Current 2 DFT Imag,Current 2 DFT Magnitude,Current 2 DFT Phase (deg),Current 2 DFT RMS,PMU2 Sync Offset,PMU2 Mag Noise,PMU2 Phase Noise,PMU2 Clock Drift,PMU2 Packet Loss,PMU2 Bad Data,Voltage 3 DFT Real,Voltage 3 DFT Imag,Voltage 3 DFT Magnitude,Voltage 3 DFT Phase (deg),Voltage 3 DFT RMS,Current 3 DFT Real,Current 3 DFT Imag,Current 3 DFT Magnitude,Current 3 DFT Phase (deg),Current 3 DFT RMS,PMU3 Sync Offset,PMU3 Mag Noise,PMU3 Phase Noise,PMU3 Clock Drift,PMU3 Packet Loss,PMU3 Bad Data
0.027,262.930523171858,8.090169943749476,191.03020699505385,5.877852522924734,64.04709679339096,1.9706799013351064,10,126.0,0.001,1910.3020699505373,2629.3052317185793,325.0010110647229,53.1279654675517,229.80970388562793,58.7785252292473,80.90169943749474,9.99228422931211,53.89763006330932,7.071067811865475,-0.41716978368020774,-0.007715770687888795,0.31425984698952253,0.00054,False,False,1004.3052317185777,3090.933677959249,325.0048121040137,69.84867207370345,229.8097038856279,30.901699437494702,95.10565162951536,9.995043425069031,69.77221178056674,7.071067811865475,-2.114328066242511,-0.004956574930967861,-0.11400015319078778,0.00054,False,False,-423.15728104866173,3230.2592518262145,325.782975259972,97.9308475367041,230.3653285383171,-13.020224032266512,99.39259236388352,10.019360873197588,98.11101621356062,7.0881639550251405,0.7695995437148477,-0.004816724323083843,-0.12225530963506792,0.00054,False,False
0.028,191.03020699505385,5.877852522924734,100.43052317185803,3.090169943749478,-37.06865947096026,-1.140574137568008,10,144.0,0.001,1004.3052317185787,3090.9336779592495,324.9999368962338,71.3718024402511,229.80970388562798,30.90169943749473,95.10565162951536,9.994535061830176,72.0732530744245,7.071067811865475,-0.41716978368020774,-0.005464938169823987,0.48986285810470753,0.0005600000000000001,False,False,-1.0373923942097463e-12,3250.0,324.99392959233285,88.02638690735657,229.80970388562793,-3.375077994860476e-14,100.0,9.999422840078807,88.01010124604116,7.071067811865475,-2.114328066242511,-0.0005771599211927548,0.1238693122836486,0.0005600000000000001,False,False,-1391.3625209902407,2944.4144901214327,325.6613858146583,115.91867866717067,230.2766418294892,-42.81115449200741,90.59736892681332,10.02134586337459,116.2239271084327,7.085435133215054,0.7695995437148477,0.0010274026670441044,0.1610181129116645,0.0005600000000000001,False,False
0.029,100.43052317185803,3.090169943749478,-4.579129098882145e-13,-1.4089627996560444e-14,-134.5907385285333,-4.14125349318564,10,162.0,0.001,-9.947598300641403e-14,3250.0,324.9995724296745,89.57179986361213,229.80970388562793,-3.9968028886505635e-15,100.0,10.000498454513803,89.54717528604453,7.071067811865475,-0.41716978368020774,0.0004984545138037413,-0.03623493027525903,0.00058,False,False,-1004.3052317185801,3090.9336779592486,325.00601215502223,106.1251752018304,229.80970388562793,-30.901699437494777,95.10565162951534,9.993506972074616,106.17857061267432,7.071067811865475,-2.114328066242511,-0.006493027925383437,0.2923186789167976,0.00058,False,False,-2224.6887045307717,2373.0954307735487,325.28247914841626,134.01751962986955,230.00893195292545,-68.45196013940836,73.01832094687842,10.003888970811955,134.09073368712282,7.0771979062438595,0.7695995437148477,-0.004780291796582859,0.16929859271600473,0.00058,False,False
0.03,1.1940306291686692e-13,3.673940397442059e-15,-100.4305231718578,-3.0901699437494705,-219.06199025602817,-6.7403689309547135,10,180.0,0.001,-1004.3052317185791,3090.933677959249,324.9960636770552,107.87426521351732,229.80970388562793,-30.901699437494745,95.10565162951535,10.006171980682877,107.58398690819745,7.071067811865475,-0.41716978368020774,0.006171980682876753,0.0005566918776497496,0.0006,False,False,-1910.3020699505382,2629.3052317185784,325.00526901316056,123.9990071824007,229.80970388562793,-58.778525229247336,80.90169943749471,9.99144214784037,123.80897607540138,7.071067811865475,-2.114328066242511,-0.008557852159629271,-0.0772958583561491,0.0006,False,False,-2842.335177111136,1571.68951763177,324.79568451464155,151.45007320443966,229.66363663929232,-87.45646698803495,48.359677465592924,9.99363234942722,151.60803263750566,7.0665734350551475,0.7695995437148477,-1.164193320095263e-05,-0.2214539396604137,0.0006,False,False
0.031,-100.4305231718578,-3.0901699437494705,-191.03020699505367,-5.877852522924728,-282.29042992413747,-8.685859382281153,10,198.0,0.001,-1910.3020699505375,2629.3052317185793,325.01137456872925,125.5465296344861,229.80970388562793,-58.77852522924731,80.90169943749474,9.996671790666538,125.95608316900973,7.071067811865475,-0.41716978368020774,-0.0033282093334614854,0.3726329526899472,0.00062,False,False,-2629.3052317185793,1910.3020699505364,325.00852049809083,142.23300904145927,229.80970388562793,-80.90169943749476,58.77852522924728,10.004100140023809,141.87095600880707,7.071067811865475,-2.114328066242511,0.004100140023809303,-0.01533592495044203,0.00062,False,False,-3184.408382271311,617.8951517719552,324.3776695330309,169.77036998507288,229.3714363610155,-97.9817963775788,19.012158516060165,9.982470001018246,169.87240204481586,7.0575826572620155,0.7695995437148477,0.0015408895491569121,0.08326372788180267,0.00062,False,False
0.032,-191.03020699505367,-5.877852522924728,-262.93052317185817,-8.090169943749482,-318.1437569202645,-9.789038674469676,10,216.0,0.001,-2629.3052317185784,1910.3020699505375,325.00484789601165,143.2977608778878,229.80970388562793,-80.90169943749473,58.778525229247315,9.992728007803608,143.74249269938716,7.071067811865475,-0.41716978368020774,-0.007271992196391343,0.15902248306735664,0.00064,False,False,-3090.933677959249,1004.3052317185779,325.00297861560165,159.95109963759575,229.8097038856279,-95.10565162951536,30.901699437494706,10.000598594510222,160.05631321537777,7.071067811865475,-2.114328066242511,0.0005985945102216084,0.17000128162025552,0.00064,False,False,-3217.7307004964982,-395.81067113643735,324.1916497177049,-172.35973252962035,229.24285101506612,-99.00709847681533,-12.178789881121151,9.980127909356076,-172.01994067589806,7.053626185078959,0.7695995437148477,0.004794094507416714,0.19713704763871667,0.00064,False,False
0.033,-262.93052317185817,-8.090169943749482,-309.093367795925,-9.51056516295154,-323.144193966599,-9.942898275895352,10,234.0,0.001,-3090.933677959249,1004.3052317185792,325.00793040337743,161.80928494669146,229.80970388562793,-95.10565162951536,30.90169943749474,9.997252505124305,161.1887063898501,7.071067811865475,-0.41716978368020774,-0.0027474948756957018,-0.39478382646969723,0.00066,False,False,-3250.0,-1.2647660696529783e-12,324.9984236233949,-182.18657628172008,229.80970388562793,-100.0,-3.952393967665557e-14,9.996852845665174,-182.32156039497997,7.071067811865475,-2.114328066242511,-0.003147154334825303,-0.20789232873750382,0.00066,False,False,-2939.0594303203707,-1371.1382659605133,324.3138627943645,-154.5546283770768,229.32608311459364,-90.4325978560114,-42.18886972186195,9.970409701122215,-154.58795263763383,7.056187172756728,0.7695995437148477,-0.008545897233415808,-0.36833693706271275,0.00066,False,False
0.034,-309.093367795925,-9.51056516295154,-325.0,-10.0,-296.80593810489825,-9.132490403227639,10,252.0,0.001,-3250.0,-7.105427357601002e-14,324.99925794438536,-179.82906830998945,229.80970388562793,-100.0,-2.6645352591003757e-15,10.007654627359289,-180.37092410378702,7.071067811865475,-0.41716978368020774,0.007654627359289253,0.045565679893214264,0.00068,False,False,-3090.9336779592486,-1004.3052317185802,325.00204568092107,-164.11780074560068,229.80970388562793,-95.10565162951534,-30.90169943749478,10.001745774727729,-164.36863701013132,7.071067811865475,-2.114328066242511,0.0017457747277283817,-0.25498894388884236,0.00068,False,False,-2375.403491576245,-2213.515471778581,324.68971013210125,-136.4233128807226,229.58868103192464,-73.08933820234601,-68.10816836241787,9.987228339366684,-136.11095307811374,7.064267108674605,0.7695995437148477,-0.003154013947113422,0.1392116972965838,0.00068,False,False
0.035,-325.0,-10.0,-309.0933677959248,-9.510565162951533,-241.68247002867267,-7.436383693189929,10,270.0000000000001,0.001,-3090.933677959249,-1004.3052317185792,324.99336806348356,-162.76666829431454,229.80970388562793,-95.10565162951535,-30.901699437494745,9.997955938804774,-162.215716724421,7.071067811865475,-0.41716978368020774,-0.002044061195226812,0.20075305925922027,0.0007000000000000001,False,False,-2629.3052317185784,-1910.3020699505387,325.01175125473804,-146.24476238383767,229.80970388562793,-80.9016994374947,-58.77852522924734,10.002924894809457,-146.1515285418047,7.071067811865475,-2.114328066242511,0.002924894809457756,-0.03790047556222365,0.0007000000000000001,False,False,-1581.4068096262415,-2841.258121546532,325.167986905493,-118.69722423157222,229.93037218673803,-48.65867106542281,-87.42332681681637,10.006999374897653,-118.39870943096862,7.0747806826688615,0.7695995437148477,0.0017485826521632362,-0.06927338109586843,0.0007000000000000001,False,False
0.036000000000000004,-309.0933677959248,-9.510565162951533,-262.93052317185766,-8.090169943749467,-163.1191037457881,-5.019049346024249,10,288.0000000000001,0.001,-2629.305231718579,-1910.3020699505378,324.99962878537804,-144.4515294422999,229.80970388562793,-80.90169943749474,-58.77852522924732,9.998445127525029,-144.34977073845096,7.071067811865476,-0.41716978368020774,-0.0015548724749733507,0.0666790452292386,0.00072,False,False,-1910.3020699505364,-2629.30523171858,324.99386727428686,-128.29595523332168,229.80970388562793,-58.77852522924727,-80.90169943749476,10.012591220911915,-128.30758807327726,7.071067811865475,-2.114328066242511,0.01259122091191588,-0.19398000703479534,0.00072,False,False,-634.0517712481316,-3193.4914930262366,325.58293350753434,-100.32895943592025,230.221736209397,-19.509285269173276,-98.2612767084996,10.014649962386327,-100.08590408025096,7.083745729519909,0.7695995437148477,-0.003279320703223469,0.3735275155228397,0.00072,False,False
